sku,name,brand,category,base_price,coverage_m2,desc
FL-037,Granit Carrara White Polished 60x60,Granito,floor,286798.88,1.92,Granit mewah Granito dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-038,Granit Calacatta Gold Matte 40x40,Decogress,floor,420106.32,2.88,"Granit berkualitas tinggi Decogress permukaan matte (doff) tipe Calacatta Gold ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-039,Keramik Dinding Travertine Beige Glossy 60x60,Habitat,floor,414887.67,0.72,Keramik dinding dekoratif Habitat tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-040,Keramik Lantai Statario Lux Rustic 30x60,Valentino Gress,floor,492931.85,1.44,"Keramik lantai luar ruangan Valentino Gress bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-041,SPC Flooring Wood Motif 60x60,Roman,floor,449900.24,1.44,"Lantai SPC (Stone Plastic Composite) premium Roman motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-042,Vinyl Flooring Plank 40x40,Milan,floor,235847.26,0.72,Lantai vinyl berkualitas Milan motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-043,Granit Oak Wood Polished 60x60,Sandimas,floor,156290.1,2.88,Granit mewah Sandimas dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-044,Granit Teak Natural Matte 40x40,Arna,floor,305258.55,2.88,"Granit berkualitas tinggi Arna permukaan matte (doff) tipe Teak Natural ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-045,Keramik Dinding Sandalwood Glossy 60x60,Niro Granite,floor,412623.3,1.92,Keramik dinding dekoratif Niro Granite tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-046,Keramik Lantai Genoa Grey Rustic 30x60,Indogress,floor,199611.1,2.88,"Keramik lantai luar ruangan Indogress bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-047,SPC Flooring Wood Motif 60x60,Granito,floor,247765.93,1.44,"Lantai SPC (Stone Plastic Composite) premium Granito motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-048,Vinyl Flooring Plank 40x40,Decogress,floor,258030.69,2.88,Lantai vinyl berkualitas Decogress motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-049,Granit Carrara White Polished 60x60,Habitat,floor,273222.69,0.72,Granit mewah Habitat dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-050,Granit Calacatta Gold Matte 40x40,Valentino Gress,floor,373959.74,0.72,"Granit berkualitas tinggi Valentino Gress permukaan matte (doff) tipe Calacatta Gold ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-051,Keramik Dinding Travertine Beige Glossy 60x60,Roman,floor,452931.81,0.36,Keramik dinding dekoratif Roman tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-052,Keramik Lantai Statario Lux Rustic 30x60,Milan,floor,228535.53,0.72,"Keramik lantai luar ruangan Milan bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-053,SPC Flooring Wood Motif 60x60,Sandimas,floor,239343.72,1.44,"Lantai SPC (Stone Plastic Composite) premium Sandimas motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-054,Vinyl Flooring Plank 40x40,Arna,floor,151007.13,1.2,Lantai vinyl berkualitas Arna motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-055,Granit Oak Wood Polished 60x60,Niro Granite,floor,436962.09,2.88,Granit mewah Niro Granite dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-056,Granit Teak Natural Matte 80x80,Indogress,floor,62594.28,0.96,"Granit berkualitas tinggi Indogress permukaan matte (doff) tipe Teak Natural ukuran 80x80. Cocok untuk area selasar, teras, dan dapur."
FL-057,Keramik Dinding Sandalwood Glossy 60x60,Granito,floor,296817.05,1.92,Keramik dinding dekoratif Granito tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-058,Keramik Lantai Genoa Grey Rustic 30x60,Decogress,floor,274820.97,0.96,"Keramik lantai luar ruangan Decogress bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-059,SPC Flooring Wood Motif 60x60,Habitat,floor,231097.17,1.92,"Lantai SPC (Stone Plastic Composite) premium Habitat motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-060,Vinyl Flooring Plank 40x40,Valentino Gress,floor,464598.31,1.44,Lantai vinyl berkualitas Valentino Gress motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-061,Granit Carrara White Polished 60x60,Roman,floor,320432.82,1.92,Granit mewah Roman dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-062,Granit Calacatta Gold Matte 40x40,Milan,floor,119707.77,1.2,"Granit berkualitas tinggi Milan permukaan matte (doff) tipe Calacatta Gold ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-063,Keramik Dinding Travertine Beige Glossy 60x60,Sandimas,floor,226805.7,0.72,Keramik dinding dekoratif Sandimas tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-064,Keramik Lantai Statario Lux Rustic 30x60,Arna,floor,394941.07,1.2,"Keramik lantai luar ruangan Arna bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-065,SPC Flooring Wood Motif 60x60,Niro Granite,floor,427360.8,1.2,"Lantai SPC (Stone Plastic Composite) premium Niro Granite motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-066,Vinyl Flooring Plank 80x80,Indogress,floor,499959.44,0.96,Lantai vinyl berkualitas Indogress motif kayu tipe plank tebal 3mm ukuran 80x80. Praktis dipasang dan mudah dibersihkan.
FL-067,Granit Oak Wood Polished 60x60,Granito,floor,391862.61,0.72,Granit mewah Granito dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-068,Granit Teak Natural Matte 40x40,Decogress,floor,127048.23,0.72,"Granit berkualitas tinggi Decogress permukaan matte (doff) tipe Teak Natural ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-069,Keramik Dinding Sandalwood Glossy 60x60,Habitat,floor,477013.09,1.2,Keramik dinding dekoratif Habitat tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-070,Keramik Lantai Genoa Grey Rustic 30x60,Valentino Gress,floor,326592.78,1.92,"Keramik lantai luar ruangan Valentino Gress bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-071,SPC Flooring Wood Motif 60x60,Roman,floor,107563.45,0.36,"Lantai SPC (Stone Plastic Composite) premium Roman motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-072,Vinyl Flooring Plank 40x40,Milan,floor,234527.95,1.92,Lantai vinyl berkualitas Milan motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-073,Granit Carrara White Polished 60x60,Sandimas,floor,363870.34,1.92,Granit mewah Sandimas dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-074,Granit Calacatta Gold Matte 40x40,Arna,floor,434129.03,1.44,"Granit berkualitas tinggi Arna permukaan matte (doff) tipe Calacatta Gold ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-075,Keramik Dinding Travertine Beige Glossy 60x60,Niro Granite,floor,212769.66,1.2,Keramik dinding dekoratif Niro Granite tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-076,Keramik Lantai Statario Lux Rustic 30x60,Indogress,floor,344919.03,0.36,"Keramik lantai luar ruangan Indogress bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-077,SPC Flooring Wood Motif 60x60,Granito,floor,250750.3,0.96,"Lantai SPC (Stone Plastic Composite) premium Granito motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-078,Vinyl Flooring Plank 40x40,Decogress,floor,137500.26,1.44,Lantai vinyl berkualitas Decogress motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-079,Granit Oak Wood Polished 60x60,Habitat,floor,400842.24,1.2,Granit mewah Habitat dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-080,Granit Teak Natural Matte 40x40,Valentino Gress,floor,201814.02,0.72,"Granit berkualitas tinggi Valentino Gress permukaan matte (doff) tipe Teak Natural ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-081,Keramik Dinding Sandalwood Glossy 60x60,Roman,floor,167299.91,1.2,Keramik dinding dekoratif Roman tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-082,Keramik Lantai Genoa Grey Rustic 30x60,Milan,floor,208014.51,1.2,"Keramik lantai luar ruangan Milan bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-083,SPC Flooring Wood Motif 60x60,Sandimas,floor,153332.73,2.88,"Lantai SPC (Stone Plastic Composite) premium Sandimas motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-084,Vinyl Flooring Plank 40x40,Arna,floor,447340.79,1.92,Lantai vinyl berkualitas Arna motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-085,Granit Carrara White Polished 60x60,Niro Granite,floor,287315.99,0.72,Granit mewah Niro Granite dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-086,Granit Calacatta Gold Matte 80x80,Indogress,floor,274974.25,2.88,"Granit berkualitas tinggi Indogress permukaan matte (doff) tipe Calacatta Gold ukuran 80x80. Cocok untuk area selasar, teras, dan dapur."
FL-087,Keramik Dinding Travertine Beige Glossy 60x60,Granito,floor,257196.8,0.36,Keramik dinding dekoratif Granito tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-088,Keramik Lantai Statario Lux Rustic 30x60,Decogress,floor,237936.5,0.72,"Keramik lantai luar ruangan Decogress bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-089,SPC Flooring Wood Motif 60x60,Habitat,floor,268234.62,1.44,"Lantai SPC (Stone Plastic Composite) premium Habitat motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-090,Vinyl Flooring Plank 40x40,Valentino Gress,floor,205548.17,1.92,Lantai vinyl berkualitas Valentino Gress motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-091,Granit Oak Wood Polished 60x60,Roman,floor,170617.62,0.36,Granit mewah Roman dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-092,Granit Teak Natural Matte 40x40,Milan,floor,386867.67,2.88,"Granit berkualitas tinggi Milan permukaan matte (doff) tipe Teak Natural ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-093,Keramik Dinding Sandalwood Glossy 60x60,Sandimas,floor,384986.05,0.96,Keramik dinding dekoratif Sandimas tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-094,Keramik Lantai Genoa Grey Rustic 30x60,Arna,floor,184519.43,0.36,"Keramik lantai luar ruangan Arna bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-095,SPC Flooring Wood Motif 60x60,Niro Granite,floor,218787.67,0.96,"Lantai SPC (Stone Plastic Composite) premium Niro Granite motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-096,Vinyl Flooring Plank 80x80,Indogress,floor,180696.98,0.36,Lantai vinyl berkualitas Indogress motif kayu tipe plank tebal 3mm ukuran 80x80. Praktis dipasang dan mudah dibersihkan.
FL-097,Granit Carrara White Polished 60x60,Granito,floor,340662.65,2.88,Granit mewah Granito dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-098,Granit Calacatta Gold Matte 40x40,Decogress,floor,312588.26,1.2,"Granit berkualitas tinggi Decogress permukaan matte (doff) tipe Calacatta Gold ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-099,Keramik Dinding Travertine Beige Glossy 60x60,Habitat,floor,141120.01,0.36,Keramik dinding dekoratif Habitat tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-100,Keramik Lantai Statario Lux Rustic 30x60,Valentino Gress,floor,421730.88,1.2,"Keramik lantai luar ruangan Valentino Gress bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
AP-001,Kompor Tanam Gas 2 Tungku MX-100,Modena,appliance & household,32370631.87,1.0,"Kompor tanam gas premium Modena model MX-100 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-002,Cooker Hood Slim MX-101,Rinnai,appliance & household,44896101.08,1.0,Penyedot asap dapur slim Rinnai tipe MX-101 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-003,Kulkas 2 Pintu MX-102,Artugo,appliance & household,7837158.58,1.0,"Kulkas 2 pintu hemat energi Artugo model MX-102 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-004,Microwave Oven MX-103,Sharp,appliance & household,43804634.4,1.0,"Microwave digital multi-fungsi Sharp tipe MX-103 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-005,Mesin Cuci Front Loading MX-104,Samsung,appliance & household,25602523.87,1.0,Mesin cuci front loading hemat air dan listrik Samsung model MX-104 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-006,Water Heater Listrik MX-105,Panasonic,appliance & household,54466672.43,1.0,Pemanas air mandi listrik Panasonic tipe MX-105 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
AP-007,Air Purifier HEPA MX-106,Fotile,appliance & household,4722321.28,1.0,"Pembersih udara ruangan Fotile model MX-106 dengan filter HEPA 13 yang efektif menyaring debu, virus, dan bakteri hingga 99%."
AP-008,Rice Cooker Digital MX-107,Teka,appliance & household,12789847.95,1.0,Pemasak nasi digital serbaguna Teka model MX-107 dengan pot tebal berlapis keramik anti-lengket dan 8 menu memasak.
AP-009,Dispenser Galon Bawah MX-108,Miyako,appliance & household,10799024.84,1.0,"Dispenser air minum galon bawah Miyako tipe MX-108 dengan opsi air panas, dingin, dan normal serta sensor tangki kosong."
AP-010,Kompor Tanam Gas 2 Tungku MX-109,Electrolux,appliance & household,23355690.14,1.0,"Kompor tanam gas premium Electrolux model MX-109 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-011,Cooker Hood Slim MX-110,Modena,appliance & household,13883978.55,1.0,Penyedot asap dapur slim Modena tipe MX-110 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-012,Kulkas 2 Pintu MX-111,Rinnai,appliance & household,38275093.22,1.0,"Kulkas 2 pintu hemat energi Rinnai model MX-111 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-013,Microwave Oven MX-112,Artugo,appliance & household,44508953.9,1.0,"Microwave digital multi-fungsi Artugo tipe MX-112 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-014,Mesin Cuci Front Loading MX-113,Sharp,appliance & household,30634087.26,1.0,Mesin cuci front loading hemat air dan listrik Sharp model MX-113 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-015,Water Heater Listrik MX-114,Samsung,appliance & household,5320426.27,1.0,Pemanas air mandi listrik Samsung tipe MX-114 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
AP-016,Air Purifier HEPA MX-115,Panasonic,appliance & household,41569238.13,1.0,"Pembersih udara ruangan Panasonic model MX-115 dengan filter HEPA 13 yang efektif menyaring debu, virus, dan bakteri hingga 99%."
AP-017,Rice Cooker Digital MX-116,Fotile,appliance & household,26575341.41,1.0,Pemasak nasi digital serbaguna Fotile model MX-116 dengan pot tebal berlapis keramik anti-lengket dan 8 menu memasak.
AP-018,Dispenser Galon Bawah MX-117,Teka,appliance & household,28275261.48,1.0,"Dispenser air minum galon bawah Teka tipe MX-117 dengan opsi air panas, dingin, dan normal serta sensor tangki kosong."
AP-019,Kompor Tanam Gas 2 Tungku MX-118,Miyako,appliance & household,33494961.42,1.0,"Kompor tanam gas premium Miyako model MX-118 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-020,Cooker Hood Slim MX-119,Electrolux,appliance & household,14894682.78,1.0,Penyedot asap dapur slim Electrolux tipe MX-119 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-021,Kulkas 2 Pintu MX-120,Modena,appliance & household,46223785.84,1.0,"Kulkas 2 pintu hemat energi Modena model MX-120 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-022,Microwave Oven MX-121,Rinnai,appliance & household,3652394.51,1.0,"Microwave digital multi-fungsi Rinnai tipe MX-121 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-023,Mesin Cuci Front Loading MX-122,Artugo,appliance & household,36355757.68,1.0,Mesin cuci front loading hemat air dan listrik Artugo model MX-122 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-024,Water Heater Listrik MX-123,Sharp,appliance & household,24819846.81,1.0,Pemanas air mandi listrik Sharp tipe MX-123 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
AP-025,Air Purifier HEPA MX-124,Samsung,appliance & household,20115916.51,1.0,"Pembersih udara ruangan Samsung model MX-124 dengan filter HEPA 13 yang efektif menyaring debu, virus, dan bakteri hingga 99%."
AP-026,Rice Cooker Digital MX-125,Panasonic,appliance & household,7096093.83,1.0,Pemasak nasi digital serbaguna Panasonic model MX-125 dengan pot tebal berlapis keramik anti-lengket dan 8 menu memasak.
AP-027,Dispenser Galon Bawah MX-126,Fotile,appliance & household,38611541.56,1.0,"Dispenser air minum galon bawah Fotile tipe MX-126 dengan opsi air panas, dingin, dan normal serta sensor tangki kosong."
AP-028,Kompor Tanam Gas 2 Tungku MX-127,Teka,appliance & household,3463296.47,1.0,"Kompor tanam gas premium Teka model MX-127 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-029,Cooker Hood Slim MX-128,Miyako,appliance & household,18795147.57,1.0,Penyedot asap dapur slim Miyako tipe MX-128 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-030,Kulkas 2 Pintu MX-129,Electrolux,appliance & household,36684830.68,1.0,"Kulkas 2 pintu hemat energi Electrolux model MX-129 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-031,Microwave Oven MX-130,Modena,appliance & household,11535665.96,1.0,"Microwave digital multi-fungsi Modena tipe MX-130 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-032,Mesin Cuci Front Loading MX-131,Rinnai,appliance & household,34959367.7,1.0,Mesin cuci front loading hemat air dan listrik Rinnai model MX-131 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-033,Water Heater Listrik MX-132,Artugo,appliance & household,30883250.69,1.0,Pemanas air mandi listrik Artugo tipe MX-132 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
AP-034,Air Purifier HEPA MX-133,Sharp,appliance & household,27432081.14,1.0,"Pembersih udara ruangan Sharp model MX-133 dengan filter HEPA 13 yang efektif menyaring debu, virus, dan bakteri hingga 99%."
AP-035,Rice Cooker Digital MX-134,Samsung,appliance & household,39473381.14,1.0,Pemasak nasi digital serbaguna Samsung model MX-134 dengan pot tebal berlapis keramik anti-lengket dan 8 menu memasak.
AP-036,Dispenser Galon Bawah MX-135,Panasonic,appliance & household,31045450.38,1.0,"Dispenser air minum galon bawah Panasonic tipe MX-135 dengan opsi air panas, dingin, dan normal serta sensor tangki kosong."
AP-037,Kompor Tanam Gas 2 Tungku MX-136,Fotile,appliance & household,26187462.34,1.0,"Kompor tanam gas premium Fotile model MX-136 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-038,Cooker Hood Slim MX-137,Teka,appliance & household,51396938.71,1.0,Penyedot asap dapur slim Teka tipe MX-137 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-039,Kulkas 2 Pintu MX-138,Miyako,appliance & household,16128231.97,1.0,"Kulkas 2 pintu hemat energi Miyako model MX-138 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-040,Microwave Oven MX-139,Electrolux,appliance & household,25938076.29,1.0,"Microwave digital multi-fungsi Electrolux tipe MX-139 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-041,Mesin Cuci Front Loading MX-140,Modena,appliance & household,50819946.02,1.0,Mesin cuci front loading hemat air dan listrik Modena model MX-140 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-042,Water Heater Listrik MX-141,Rinnai,appliance & household,42838119.6,1.0,Pemanas air mandi listrik Rinnai tipe MX-141 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
AP-043,Air Purifier HEPA MX-142,Artugo,appliance & household,15793737.47,1.0,"Pembersih udara ruangan Artugo model MX-142 dengan filter HEPA 13 yang efektif menyaring debu, virus, dan bakteri hingga 99%."
AP-044,Rice Cooker Digital MX-143,Sharp,appliance & household,17472737.96,1.0,Pemasak nasi digital serbaguna Sharp model MX-143 dengan pot tebal berlapis keramik anti-lengket dan 8 menu memasak.
AP-045,Dispenser Galon Bawah MX-144,Samsung,appliance & household,30314060.91,1.0,"Dispenser air minum galon bawah Samsung tipe MX-144 dengan opsi air panas, dingin, dan normal serta sensor tangki kosong."
AP-046,Kompor Tanam Gas 2 Tungku MX-145,Panasonic,appliance & household,42313688.25,1.0,"Kompor tanam gas premium Panasonic model MX-145 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-047,Cooker Hood Slim MX-146,Fotile,appliance & household,48023690.05,1.0,Penyedot asap dapur slim Fotile tipe MX-146 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-048,Kulkas 2 Pintu MX-147,Teka,appliance & household,13995590.86,1.0,"Kulkas 2 pintu hemat energi Teka model MX-147 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-049,Microwave Oven MX-148,Miyako,appliance & household,41341725.61,1.0,"Microwave digital multi-fungsi Miyako tipe MX-148 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-050,Mesin Cuci Front Loading MX-149,Electrolux,appliance & household,43893060.85,1.0,Mesin cuci front loading hemat air dan listrik Electrolux model MX-149 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-051,Water Heater Listrik MX-150,Modena,appliance & household,8254175.43,1.0,Pemanas air mandi listrik Modena tipe MX-150 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
AP-052,Air Purifier HEPA MX-151,Rinnai,appliance & household,6834575.83,1.0,"Pembersih udara ruangan Rinnai model MX-151 dengan filter HEPA 13 yang efektif menyaring debu, virus, dan bakteri hingga 99%."
AP-053,Rice Cooker Digital MX-152,Artugo,appliance & household,9212314.75,1.0,Pemasak nasi digital serbaguna Artugo model MX-152 dengan pot tebal berlapis keramik anti-lengket dan 8 menu memasak.
AP-054,Dispenser Galon Bawah MX-153,Sharp,appliance & household,43311603.08,1.0,"Dispenser air minum galon bawah Sharp tipe MX-153 dengan opsi air panas, dingin, dan normal serta sensor tangki kosong."
AP-055,Kompor Tanam Gas 2 Tungku MX-154,Samsung,appliance & household,38559696.02,1.0,"Kompor tanam gas premium Samsung model MX-154 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-056,Cooker Hood Slim MX-155,Panasonic,appliance & household,47474806.85,1.0,Penyedot asap dapur slim Panasonic tipe MX-155 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-057,Kulkas 2 Pintu MX-156,Fotile,appliance & household,39951382.25,1.0,"Kulkas 2 pintu hemat energi Fotile model MX-156 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-058,Microwave Oven MX-157,Teka,appliance & household,34534081.2,1.0,"Microwave digital multi-fungsi Teka tipe MX-157 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-059,Mesin Cuci Front Loading MX-158,Miyako,appliance & household,41452000.62,1.0,Mesin cuci front loading hemat air dan listrik Miyako model MX-158 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-060,Water Heater Listrik MX-159,Electrolux,appliance & household,39158159.37,1.0,Pemanas air mandi listrik Electrolux tipe MX-159 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
AP-061,Air Purifier HEPA MX-160,Modena,appliance & household,38629062.21,1.0,"Pembersih udara ruangan Modena model MX-160 dengan filter HEPA 13 yang efektif menyaring debu, virus, dan bakteri hingga 99%."
AP-062,Rice Cooker Digital MX-161,Rinnai,appliance & household,44093675.39,1.0,Pemasak nasi digital serbaguna Rinnai model MX-161 dengan pot tebal berlapis keramik anti-lengket dan 8 menu memasak.
AP-063,Dispenser Galon Bawah MX-162,Artugo,appliance & household,24541743.15,1.0,"Dispenser air minum galon bawah Artugo tipe MX-162 dengan opsi air panas, dingin, dan normal serta sensor tangki kosong."
AP-064,Kompor Tanam Gas 2 Tungku MX-163,Sharp,appliance & household,31777151.31,1.0,"Kompor tanam gas premium Sharp model MX-163 dengan tungku kuningan kuningan berlapis besi cor, aman dan hemat gas."
AP-065,Cooker Hood Slim MX-164,Samsung,appliance & household,5724806.76,1.0,Penyedot asap dapur slim Samsung tipe MX-164 dengan filter karbon aktif untuk menghilangkan bau dan uap minyak secara efektif.
AP-066,Kulkas 2 Pintu MX-165,Panasonic,appliance & household,14384393.86,1.0,"Kulkas 2 pintu hemat energi Panasonic model MX-165 dengan teknologi inverter, sistem pendingin ganda, dan kompartemen luas."
AP-067,Microwave Oven MX-166,Fotile,appliance & household,35627897.76,1.0,"Microwave digital multi-fungsi Fotile tipe MX-166 untuk menghangatkan, mencairkan makanan beku, dan memanggang praktis."
AP-068,Mesin Cuci Front Loading MX-167,Teka,appliance & household,2002762.58,1.0,Mesin cuci front loading hemat air dan listrik Teka model MX-167 dengan fitur uap panas anti-bakteri dan motor senyap.
AP-069,Water Heater Listrik MX-168,Miyako,appliance & household,30743000.36,1.0,Pemanas air mandi listrik Miyako tipe MX-168 dilengkapi tangki berlapis enamel anti-karat dan sistem pengaman ELCB.
